id,title,release_date,vote_average,vote_count,popularity,cast,genres,overview
1307118,Soulm8te,2026-07-31,7.243,214,120.8394,David Rysdahl|Lily Sullivan|Claudia Doumit|Arty Froushan|Elijah Isaiah Cook,Horror|Science Fiction|Thriller,"After a ruthless tech giant acquires a small robotics company, a grieving engineer is tasked with testing their new AI companion. But when he attempts to reprogram her to be a truly sentient soulmate, she develops needs of her own—unleashing a relentless spree of precision-engineered mayhem."
315635,Spider-Man: Homecoming,2017-07-05,7.333,23699,118.0399,Tom Holland|Michael Keaton|Robert Downey Jr.|Marisa Tomei|Jon Favreau,Action|Adventure|Science Fiction,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges."
1612018,Jackass: Best and Last,2026-06-25,7.518,165,106.9577,Johnny Knoxville|Steve-O|Chris Pontius|Jason 'Wee Man' Acuña|Dave England,Action|Comedy|Documentary,The fifth and final installment to Jackass franchise where the crew go on one last insane crusade.
980431,Avatar Aang: The Last Airbender,2026-07-24,9.227,913,105.1595,Eric Nam|Dave Bautista|Jessica Matten|Román Zaragoza|Steven Yeun,Animation|Action|Adventure|Fantasy,"Avatar Aang, the world's last Airbender, learns of an ancient power that could save his culture from extinction. With the help of his friends, he embarks on a global quest to find it before it falls into the wrong hands and threatens to upend the peace they sacrificed everything to achieve."
1594914,Lucky Strike,2026-06-26,7.29,31,103.2092,Scott Eastwood|Colin Hanks|Aunjanue Ellis-Taylor|Taylor John Smith|Lorne MacFadyen,Action|War,"A wounded American soldier fights to survive behind enemy lines during WWII's Battle of the Bulge against the Germans, relying on his instinct, spy craft and a hand-radio to evade capture and find his way back to his unit."
454639,Masters of the Universe,2026-06-03,7.174,1873,102.6947,Nicholas Galitzine|Camila Mendes|Idris Elba|Jared Leto|Alison Brie,Action|Fantasy|Science Fiction,"After being separated for 15 years, the Sword of Power leads Prince Adam back to Eternia, where he discovers his home shattered under the fiendish rule of Skeletor. To save his family and his world, Adam must join forces with his closest allies, Teela and Duncan/Man-At-Arms, and embrace his true destiny as He-Man — the most powerful man in the universe."
1481343,The Devil's Mouth,2026-07-29,6.579,662,102.3229,Kathryn Newton|Lana Condor|Nico Hiraga|Gavin Casalegno|Tommi Rose,Horror|Thriller,"A group of college friends' Thailand adventure turns deadly when they become trapped in submerged caves with a dangerous predator. As oxygen runs low, past conflicts emerge in their desperate fight for survival."
1523145,Your Heart Will Be Broken,2026-03-26,7.1,121,98.4879,Daniel Vegas|Veronika Zhuravleva|Ivan Trushin|Maksim Saprykin|Alya Mayer,Romance,"High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers."
557,Spider-Man,2002-05-01,7.347,21202,97.8961,Tobey Maguire|Willem Dafoe|Kirsten Dunst|James Franco|Cliff Robertson,Action|Science Fiction,"After being bitten by a genetically altered spider at Oscorp, nerdy but endearing high school student Peter Parker is endowed with amazing powers to become the superhero known as Spider-Man."
1698863,The Odyssey,2026-07-03,4.052,281,97.7987,Myrom Kingery|Morgan Flanagan|Patrick Byrnes|Dominic Keating|Llana Barron,Adventure|Fantasy|Action,"Based on the Ancient Greek epic. After ten years of war, King Odysseus sets sail for Ithaca, eager to reunite with his beloved. But his journey home is far more treacherous than the battlefield, as he must face deadly monsters and vengeful gods to survive."
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025-07-18,8.731,1901,92.3438,Natsuki Hanae|Takahiro Sakurai|Akira Ishida|Hiro Shimono|Yoshimasa Hosoya,Animation|Action|Fantasy,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins."
755898,War of the Worlds,2025-07-29,4.061,1084,92.1634,Ice Cube|Eva Longoria|Clark Gregg|Iman Benson|Henry Hunter Hall,Science Fiction|Thriller,"Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world."
950028,The Invite,2026-06-25,7.379,280,91.2691,Seth Rogen|Olivia Wilde|Penélope Cruz|Edward Norton|Skip Howland,Comedy|Drama|Romance,"Joe and Angela's marriage is on thin ice. When they invite their enigmatic upstairs neighbors for a dinner party, the night spirals into unexpected places. Have they reignited the spark or lit the match that burns it all down?"
299536,Avengers: Infinity War,2018-04-25,8.241,32630,89.5614,Robert Downey Jr.|Chris Evans|Chris Hemsworth|Josh Brolin|Mark Ruffalo,Adventure|Action|Science Fiction,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain."
